Year,Count,Student
2012-2013,296,Undergraduate Students
2012-2013,25,Master's Students
2012-2013,7,Doctoral Students
2013-2014,311,Undergraduate Students
2013-2014,50,Master's Students
2013-2014,11,Doctoral Students
2014-2015,200,Undergraduate Students
2014-2015,54,Master's Students
2014-2015,20,Doctoral Students
2015-2016,431,Undergraduate Students
2015-2016,124,Master's Students
2015-2016,83,Doctoral Students
2016-2017,485,Undergraduate Students
2016-2017,137,Master's Students
2016-2017,131,Doctoral Students
