Lab,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017
    College of Agriculture and Bioresources,1,4,10,32,48
    College of Arts and Science,50,36,88,83,102
    College of Dentistry,--,--,--,5,11
    College of Education,1,3,12,30,33
    College of Graduate and Postdoctoral Studies,0,0,0,0,1
    College of Kinesiology,--,--,4,7,1
    College of Law,0,0,0,0,3
    College of Medicine,--,--,--,37,81
    College of Nursing,--,--,--,9,26
    Edwards School of Business,5,8,18,12,16
    Information and Communications Technology,0,0,1,0,1
    Johnson-Shoyama Graduate School of Public Policy,1,3,6,21,20
    Office of the Vice-President Research,0,1,12,19,12
    St. Thomas More College,3,0,1,1,1
    School of Environment and Sustainability,2,4,4,26,8
    School of Public Health,--,--,--,3,12
    University Library,3,9,5,6,1
    Western College of Veterinary Medicine,--,--,--,9,4
